,SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_MOBIL,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_CONT_MOBILE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,REG_REGION_NOT_LIVE_REGION,REG_REGION_NOT_WORK_REGION,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,BASEMENTAREA_AVG,YEARS_BEGINEXPLUATATION_AVG,YEARS_BUILD_AVG,COMMONAREA_AVG,ELEVATORS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,FLOORSMIN_AVG,LANDAREA_AVG,LIVINGAPARTMENTS_AVG,LIVINGAREA_AVG,NONLIVINGAPARTMENTS_AVG,NONLIVINGAREA_AVG,APARTMENTS_MODE,BASEMENTAREA_MODE,YEARS_BEGINEXPLUATATION_MODE,YEARS_BUILD_MODE,COMMONAREA_MODE,ELEVATORS_MODE,ENTRANCES_MODE,FLOORSMAX_MODE,FLOORSMIN_MODE,LANDAREA_MODE,LIVINGAPARTMENTS_MODE,LIVINGAREA_MODE,NONLIVINGAPARTMENTS_MODE,NONLIVINGAREA_MODE,APARTMENTS_MEDI,BASEMENTAREA_MEDI,YEARS_BEGINEXPLUATATION_MEDI,YEARS_BUILD_MEDI,COMMONAREA_MEDI,ELEVATORS_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,FLOORSMIN_MEDI,LANDAREA_MEDI,LIVINGAPARTMENTS_MEDI,LIVINGAREA_MEDI,NONLIVINGAPARTMENTS_MEDI,NONLIVINGAREA_MEDI,FONDKAPREMONT_MODE,HOUSETYPE_MODE,TOTALAREA_MODE,WALLSMATERIAL_MODE,EMERGENCYSTATE_MODE,OBS_30_CNT_SOCIAL_CIRCLE,DEF_30_CNT_SOCIAL_CIRCLE,OBS_60_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_2,FLAG_DOCUMENT_3,FLAG_DOCUMENT_4,FLAG_DOCUMENT_5,FLAG_DOCUMENT_6,FLAG_DOCUMENT_7,FLAG_DOCUMENT_8,FLAG_DOCUMENT_9,FLAG_DOCUMENT_10,FLAG_DOCUMENT_11,FLAG_DOCUMENT_12,FLAG_DOCUMENT_13,FLAG_DOCUMENT_14,FLAG_DOCUMENT_15,FLAG_DOCUMENT_16,FLAG_DOCUMENT_17,FLAG_DOCUMENT_18,FLAG_DOCUMENT_19,FLAG_DOCUMENT_20,FLAG_DOCUMENT_21,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_YEAR
147696,271249,0,Cash loans,F,N,Y,0,198000.0,571446.0,16839.0,477000.0,Unaccompanied,Pensioner,Incomplete higher,Married,House / apartment,0.018634,-22617,365243,-8276.0,-1281,,1,0,0,1,1,0,,2.0,2,2,THURSDAY,17,0,0,0,0,0,0,XNA,,0.4166621490388699,0.6894791426446275,0.2237,0.1636,0.9876,0.83,0.1522,0.24,0.2069,0.3333,0.375,0.0,0.1723,0.2236,0.0463,0.1766,0.2279,0.1698,0.9876,0.8367,0.1536,0.2417,0.2069,0.3333,0.375,0.0,0.1882,0.2329,0.0467,0.1869,0.2259,0.1636,0.9876,0.8323,0.1532,0.24,0.2069,0.3333,0.375,0.0,0.1753,0.2276,0.0466,0.1803,reg oper spec account,block of flats,0.2142,"Stone, brick",No,0.0,0.0,0.0,0.0,-2291.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
79462,192117,0,Revolving loans,F,N,Y,0,157500.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.018634,-8869,-2088,-3475.0,-1359,,1,1,0,1,0,0,Laborers,2.0,2,2,FRIDAY,17,0,0,0,0,0,0,Industry: type 1,0.2653878782647532,0.2910234604179549,0.4507472818545589,0.0928,0.0,0.9836,0.7688,0.0121,0.0,0.2069,0.1667,0.2083,0.0615,0.0756,0.0798,,0.0,0.0945,0.0,0.9836,0.7779,0.0122,0.0,0.2069,0.1667,0.2083,0.0629,0.0826,0.0832,,0.0,0.0937,0.0,0.9836,0.7719,0.0122,0.0,0.2069,0.1667,0.2083,0.0626,0.077,0.0813,,0.0,,block of flats,0.0725,Panel,No,0.0,0.0,0.0,0.0,-740.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,2.0
275169,418905,0,Cash loans,F,Y,Y,0,54000.0,158301.0,15655.5,148500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.018029,-21429,365243,-13032.0,-4966,23.0,1,0,0,1,0,0,,2.0,3,3,TUESDAY,6,0,0,0,0,0,0,XNA,,0.1582350467419284,0.4329616670974407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
294209,440843,0,Cash loans,M,N,Y,0,135000.0,1339884.0,39307.5,1170000.0,Other_B,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,0.025164,-15413,-3164,-2545.0,-4239,,1,1,0,1,0,0,Laborers,2.0,2,2,SATURDAY,11,0,0,0,0,0,0,Self-employed,,0.1631870354642708,0.6479768603302221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-297.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,4.0
49617,157438,0,Cash loans,F,N,Y,0,112500.0,808650.0,23305.5,675000.0,"Spouse, partner",Pensioner,Lower secondary,Married,House / apartment,0.031329,-22034,365243,-8995.0,-2772,,1,0,0,1,0,0,,2.0,2,2,TUESDAY,8,0,0,0,0,0,0,XNA,,0.2877766398568215,0.6832688314232291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-2995.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
274298,417924,0,Cash loans,F,N,Y,0,202500.0,388066.5,24930.0,351000.0,Unaccompanied,Working,Secondary / secondary special,Single / not married,House / apartment,0.0116569999999999,-22284,-5223,-13964.0,-4055,,1,1,0,1,1,0,,1.0,1,1,THURSDAY,18,0,0,0,0,0,0,Self-employed,0.7774906877266249,0.7930949571431456,0.7700870700124128,0.1866,0.1258,0.9806,0.7348,0.0253,0.2,0.1724,0.3333,0.375,0.0,0.1513,0.1984,0.0039,0.0048,0.1901,0.1306,0.9806,0.7452,0.0255,0.2014,0.1724,0.3333,0.375,0.0,0.1653,0.2068,0.0039,0.005,0.1884,0.1258,0.9806,0.7383,0.0254,0.2,0.1724,0.3333,0.375,0.0,0.1539,0.202,0.0039,0.0049,reg oper account,block of flats,0.1714,Panel,No,0.0,0.0,0.0,0.0,-912.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4.0
284200,429133,0,Cash loans,F,N,Y,0,166500.0,991944.0,26167.5,828000.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.02461,-18402,-1835,-2152.0,-1937,,1,1,0,1,0,0,Sales staff,2.0,2,2,MONDAY,10,0,0,0,0,0,0,Business Entity Type 3,,0.5509183662618606,0.6863823354047934,0.334,0.1871,0.9806,,,0.24,0.2069,0.3333,,0.1582,,0.317,,0.0,0.3403,0.1942,0.9806,,,0.2417,0.2069,0.3333,,0.1618,,0.3302,,0.0,0.3373,0.1871,0.9806,,,0.24,0.2069,0.3333,,0.161,,0.3227,,0.0,,block of flats,0.2835,Panel,No,8.0,1.0,8.0,1.0,-842.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,4.0
68025,178886,0,Cash loans,F,N,Y,0,90000.0,523597.5,23193.0,468000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.0031219999999999,-18138,-5465,-6981.0,-1663,,1,1,0,1,0,0,Drivers,2.0,3,3,SUNDAY,11,0,0,0,0,0,0,Self-employed,,0.3001841778246504,0.6545292802242897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-664.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
157072,282064,1,Cash loans,M,N,Y,0,135000.0,1042164.0,44284.5,931500.0,Unaccompanied,Pensioner,Secondary / secondary special,Married,House / apartment,0.005313,-23286,365243,-6317.0,-420,,1,0,0,1,0,0,,2.0,2,2,THURSDAY,11,0,0,0,0,0,0,XNA,,0.2109044237794976,0.475849908720221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
209985,343347,1,Cash loans,F,N,Y,0,112500.0,614574.0,19953.0,513000.0,Unaccompanied,Pensioner,Higher education,Single / not married,House / apartment,0.031329,-21110,365243,-11359.0,-3614,,1,0,0,1,0,0,,1.0,2,2,WEDNESDAY,13,0,0,0,0,0,0,XNA,,0.6554909952808194,0.5937175866150576,0.2634,0.0552,0.9906,0.9524,0.0146,0.28,0.1897,0.6667,1.0,,0.121,0.2748,0.0193,0.2295,0.1565,0.0573,0.9846,0.9543,0.0147,0.1611,0.0345,0.3333,1.0,,0.1322,0.197,0.0195,0.0932,0.266,0.0552,0.9906,0.953,0.0147,0.28,0.1897,0.6667,1.0,,0.1231,0.2798,0.0194,0.2343,org spec account,block of flats,0.1567,Monolithic,No,0.0,0.0,0.0,0.0,-184.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
264795,406636,0,Cash loans,M,Y,N,0,202500.0,675000.0,24930.0,675000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010006,-13885,-3000,-4776.0,-3920,8.0,1,1,0,1,1,0,Drivers,2.0,2,2,TUESDAY,18,0,0,0,0,0,0,Self-employed,,0.5166697347244732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,0.0,-868.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
21897,125510,0,Cash loans,M,N,Y,0,270000.0,1046142.0,33876.0,913500.0,Unaccompanied,Working,Secondary / secondary special,Civil marriage,House / apartment,0.00733,-14039,-4325,-2329.0,-59,,1,1,0,1,0,0,Drivers,2.0,2,2,MONDAY,14,0,0,0,0,0,0,Government,,0.6394711206070148,0.22009464485041,0.0598,0.0542,0.9767,0.6804,0.0058,0.0,0.1034,0.1667,0.0417,0.0661,,0.0479,,0.0155,0.0609,0.0562,0.9767,0.6929,0.0059,0.0,0.1034,0.1667,0.0417,0.0676,,0.0499,,0.0164,0.0604,0.0542,0.9767,0.6847,0.0058,0.0,0.1034,0.1667,0.0417,0.0672,,0.0487,,0.0158,reg oper account,block of flats,0.0648,"Stone, brick",No,0.0,0.0,0.0,0.0,-1262.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,2.0
83816,197211,0,Cash loans,F,Y,N,0,261000.0,526491.0,16942.5,454500.0,Unaccompanied,Pensioner,Higher education,Widow,House / apartment,0.072508,-23996,365243,-869.0,-4218,12.0,1,0,0,1,0,0,,1.0,1,1,THURSDAY,12,0,0,0,0,0,0,XNA,,0.7642873572565811,0.7165702448010511,0.266,0.1131,0.9935,,,0.32,0.1379,0.6667,,0.0,,0.2946,,0.0492,0.271,0.1173,0.9935,,,0.3222,0.1379,0.6667,,0.0,,0.3069,,0.0521,0.2686,0.1131,0.9935,,,0.32,0.1379,0.6667,,0.0,,0.2999,,0.0502,,block of flats,0.2427,Panel,No,0.0,0.0,0.0,0.0,-259.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3.0
30022,134852,0,Cash loans,F,Y,Y,1,202500.0,1800000.0,62698.5,1800000.0,Family,State servant,Higher education,Married,House / apartment,0.015221,-16200,-3627,-5194.0,-3514,6.0,1,1,0,1,0,0,Core staff,3.0,2,2,MONDAY,13,0,0,0,0,0,0,School,0.8392340827909012,0.6565815143934363,0.5388627065779676,0.1113,0.0786,0.9871,,,0.12,0.1034,0.3333,,0.0304,,0.1152,,,0.1134,0.0816,0.9871,,,0.1208,0.1034,0.3333,,0.0311,,0.12,,,0.1124,0.0786,0.9871,,,0.12,0.1034,0.3333,,0.0309,,0.1173,,,,block of flats,0.0906,Panel,No,0.0,0.0,0.0,0.0,-1296.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0
45613,152830,0,Revolving loans,F,N,Y,0,157500.0,180000.0,9000.0,180000.0,Family,Working,Secondary / secondary special,Single / not married,House / apartment,0.035792,-10135,-1146,-4643.0,-2818,,1,1,0,1,0,0,Waiters/barmen staff,1.0,2,2,SUNDAY,12,0,0,0,0,0,0,Business Entity Type 3,,0.6824243380555692,0.3046721837533529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,7.0,1.0,-1803.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
35538,141163,0,Cash loans,M,Y,N,0,135000.0,548239.5,42588.0,517500.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.035792,-17930,-1909,-73.0,-1475,5.0,1,1,0,1,0,0,Laborers,2.0,2,2,TUESDAY,12,0,0,0,0,1,1,Business Entity Type 3,,0.6567935054680649,0.5849900404894085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-1329.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,6.0
121909,241337,0,Cash loans,F,Y,N,0,90000.0,1078200.0,31653.0,900000.0,Unaccompanied,State servant,Secondary / secondary special,Married,House / apartment,0.02461,-16998,-9194,-9255.0,-547,13.0,1,1,1,1,1,0,Core staff,2.0,2,2,THURSDAY,15,0,0,0,0,0,0,School,0.8498619931927291,0.5177781971420448,0.6512602186973006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,-171.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
248757,387788,0,Cash loans,F,N,Y,0,139500.0,176328.0,8703.0,139500.0,Unaccompanied,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,0.031329,-16397,-1354,-4323.0,-4341,,1,1,0,1,0,0,Cleaning staff,1.0,2,2,FRIDAY,10,0,0,0,0,1,1,Restaurant,,0.5962075537804933,0.7165702448010511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,2.0,0.0,-1018.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
129508,250213,0,Revolving loans,M,N,N,1,225000.0,180000.0,9000.0,180000.0,Unaccompanied,Working,Secondary / secondary special,Married,House / apartment,0.010032,-13448,-4958,-4378.0,-4378,,1,1,1,1,1,1,Core staff,3.0,2,2,MONDAY,4,0,0,0,0,0,0,Security Ministries,0.2247354236661354,0.3410639310708214,0.4866531565147181,0.0567,0.0454,0.9662,,,0.0,0.0803,0.0833,,0.0351,,0.0288,,0.0038,0.0105,0.0,0.9613,,,0.0,0.1034,0.0417,,0.0107,,0.0145,,0.0,0.0104,0.0454,0.9613,,,0.0,0.1034,0.0417,,0.0357,,0.0196,,0.0038,,block of flats,0.0166,Block,No,2.0,0.0,2.0,0.0,-2747.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.0
